COMPANY NAME,FIELD,RATINGS,LOCATION,REVIEW,SALARY,JOB
ACT Fibernet,Telecom ,3.9,Hyderabad,2.6k,7.8k,149
DBS Bank,Banking ,3.7,Hyderabad,2.6k,13.1k,172
Himalaya Wellness,Pharma ,4.0,Bengaluru,2.5k,6.2k,49
Tata Advanced Systems,Defence & Aerospace ,3.7,Bengaluru,2.5k,12.8k,--
Sahrudaya Healthcare (Medicover Hospitals),Healthcare ,4.4,Hyderabad,2.5k,3.5k,36
Foundever,BPO ,3.3,Hyderabad,2.5k,8.9k,80
Photon Interactive,IT Services & Consulting ,4.1,Chennai,2.5k,7.4k,779
BT Group,Telecom ,3.8,Gurugram,2.5k,11.6k,5
Sterlite Technologies,Hardware & Networking ,3.8,Chhatrapati Sambhajinagar,2.5k,10.1k,110
Alldigi Tech,BPO ,3.9,Chennai,2.5k,7.6k,46
V-Mart,Retail ,4.0,Gurugram,2.5k,4.4k,20
Bajaj Electricals,Consumer Electronics & Appliances ,3.9,Mumbai,2.5k,7.5k,21
IntouchCX,BPO ,2.7,Hyderabad,2.5k,10k,221
Tractors and Farm Equipment,Industrial Machinery ,3.9,Chennai,2.5k,8.4k,18
Sammaan Capital Limited,NBFC ,3.7,Gurugram,2.5k,5.9k,10
Northern Trust Operating Services,Financial Services ,3.6,Bengaluru,2.5k,17.3k,64
JCB,Industrial Machinery ,3.9,Pune,2.5k,9.6k,--
Laurus Labs,Pharma ,4.3,Visakhapatnam,2.5k,7.3k,4
Parle Agro,Beverage ,4.0,Mumbai,2.5k,6.7k,--
Canara HSBC Life Insurance,Insurance ,3.6,Gurugram,2.5k,6.3k,5
Planet Spark,EdTech ,3.8,Gurugram,2.4k,3.5k,73
